vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,6582,162,122,14.5045
-0,-0,-0,6583,162.633,123,14
0,0,0,6584,162,123,14.8083
0,0,0,6585,162.871,124,14
0,0,0,6586,163,124.543,14
0,0,0,6587,163.109,125,14
0,0,0,6588,163,125,14.1389
0,0,0,6589,163.347,126,14
0,0,0,6590,163,126,14.4426
0,0,0,6591,163.585,127,14
0,0,0,6592,163,127,14.7464
0,0,0,7018,159.471,113,15
0,0,0,7019,159,113,15.6015
0,0,0,7020,159.709,114,15
0,0,0,7021,159,114,15.9052
0,0,0,7022,159.947,115,15
0,0,0,7023,160,115.224,15
0,0,0,7024,160.185,116,15
0,0,0,7025,160,116,15.2358
0,0,0,7026,160.423,117,15
0,0,0,7027,160,117,15.5396
0,0,0,7028,160.66,118,15
0,0,0,7029,160,118,15.8434
0,0,0,7030,160.898,119,15
0,0,0,7031,161,119.427,15
-0,-0,-0,7032,161.136,120,15
-0,-0,-0,7033,161,120,15.1739
0,0,0,7034,161.374,121,15
0,0,0,7035,161,121,15.4777
0,0,0,7036,161.612,122,15
0,0,0,7037,161,122,15.7815
0,0,0,7038,161.85,123,15
0,0,0,7039,162,123.631,15
0,0,0,7040,162.088,124,15
0,0,0,7041,162,124,15.1121
0,0,0,7042,162.326,125,15
0,0,0,7043,162,125,15.4159
0,0,0,7044,162.564,126,15
0,0,0,7045,162,126,15.7196
0,0,0,7046,162.801,127,15
0,0,0,7047,163,127.835,15
0,0,0,7049,163,128,15.0502
0,0,0,7051,163,129,15.354
0,0,0,7460,157.974,110,16
0,0,0,7462,158.212,111,16
0,0,0,7463,158,111,16.2709
0,0,0,7464,158.45,112,16
0,0,0,7465,158,112,16.5747
0,0,0,7466,158.688,113,16
0,0,0,7467,158,113,16.8785
0,0,0,7468,158.926,114,16
0,0,0,7469,159,114.312,16
0,0,0,7470,159.164,115,16
0,0,0,7471,159,115,16.209
0,0,0,7472,159.402,116,16
0,0,0,7473,159,116,16.5128
0,0,0,7474,159.639,117,16
0,0,0,7475,159,117,16.8166
0,0,0,7476,159.877,118,16
0,0,0,7477,160,118.516,16
-0,-0,-0,7478,160.115,119,16
0,0,0,7479,160,119,16.1472
-0,-0,-0,7480,160.353,120,16
0,0,0,7481,160,120,16.4509
-0,-0,-0,7482,160.591,121,16
0,0,0,7483,160,121,16.7547
0,0,0,7484,160.829,122,16
0,0,0,7485,161,122.719,16
0,0,0,7486,161.067,123,16
0,0,0,7487,161,123,16.0853
0,0,0,7488,161.305,124,16
0,0,0,7489,161,124,16.3891
0,0,0,7490,161.543,125,16
0,0,0,7491,161,125,16.6929
0,0,0,7492,161.78,126,16
0,0,0,7493,161,126,16.9966
0,0,0,7494,162,126.923,16
0,0,0,7495,162.018,127,16
0,0,0,7496,162,127,16.0234
0,0,0,7497,162.256,128,16
0,0,0,7498,162,128,16.3272
0,0,0,7499,162.494,129,16
0,0,0,7500,162,129,16.631
0,0,0,7502,162,130,16.9348
0,0,0,7915,156.953,109,17
0,0,0,7917,157.191,110,17
0,0,0,7918,157,110,17.2441
0,0,0,7919,157.429,111,17
0,0,0,7920,157,111,17.5479
0,0,0,7921,157.667,112,17
0,0,0,7922,157,112,17.8517
0,0,0,7923,157.905,113,17
0,0,0,7924,158,113.4,17
0,0,0,7925,158.143,114,17
0,0,0,7926,158,114,17.1823
0,0,0,7927,158.381,115,17
0,0,0,7928,158,115,17.486
0,0,0,7929,158.618,116,17
0,0,0,7930,158,116,17.7898
0,0,0,7931,158.856,117,17
0,0,0,7932,159,117.604,17
0,0,0,7933,159.094,118,17
0,0,0,7934,159,118,17.1204
0,0,0,7935,159.332,119,17
0,0,0,7936,159,119,17.4242
0,0,0,7937,159.57,120,17
0,0,0,7938,159,120,17.728
0,0,0,7939,159.808,121,17
0,0,0,7940,160,121.807,17
0,0,0,7941,160.046,122,17
0,0,0,7942,160,122,17.0585
0,0,0,7943,160.284,123,17
0,0,0,7944,160,123,17.3623
0,0,0,7945,160.522,124,17
0,0,0,7946,160,124,17.6661
0,0,0,7947,160.759,125,17
0,0,0,7948,160,125,17.9699
-0,-0,-0,7949,160.997,126,17
-0,-0,-0,7950,161,126.011,17
-0,-0,-0,7951,161.235,127,17
0,0,0,7952,161,127,17.3004
-0,-0,-0,7953,161.473,128,17
0,0,0,7954,161,128,17.6042
0,0,0,7955,161.711,129,17
0,0,0,7956,161,129,17.908
0,0,0,7957,161.949,130,17
0,0,0,8359,155.694,107,18
0,0,0,8360,155,107,18.8868
0,0,0,8361,155.932,108,18
0,0,0,8362,156,108.285,18
0,0,0,8363,156.17,109,18
0,0,0,8364,156,109,18.2173
0,0,0,8365,156.408,110,18
0,0,0,8366,156,110,18.5211
0,0,0,8367,156.646,111,18
0,0,0,8368,156,111,18.8249
0,0,0,8369,156.884,112,18
0,0,0,8370,157,112.488,18
0,0,0,8371,157.122,113,18
0,0,0,8372,157,113,18.1555
0,0,0,8373,157.36,114,18
0,0,0,8374,157,114,18.4593
0,0,0,8375,157.598,115,18
0,0,0,8376,157,115,18.763
0,0,0,8377,157.835,116,18
0,0,0,8378,158,116.692,18
0,0,0,8379,158.073,117,18
0,0,0,8380,158,117,18.0936
0,0,0,8381,158.311,118,18
0,0,0,8382,158,118,18.3974
0,0,0,8383,158.549,119,18
0,0,0,8384,158,119,18.7012
0,0,0,8385,158.787,120,18
0,0,0,8386,159,120.896,18
0,0,0,8387,159.025,121,18
0,0,0,8388,159,121,18.0317
0,0,0,8389,159.263,122,18
0,0,0,8390,159,122,18.3355
0,0,0,8391,159.501,123,18
0,0,0,8392,159,123,18.6393
0,0,0,8393,159.739,124,18
0,0,0,8394,159,124,18.9431
0,0,0,8395,159.976,125,18
0,0,0,8396,160,125.099,18
0,0,0,8397,160.214,126,18
0,0,0,8398,160,126,18.2737
0,0,0,8399,160.452,127,18
0,0,0,8400,160,127,18.5774
0,0,0,8401,160.69,128,18
0,0,0,8402,160,128,18.8812
0,0,0,8403,160.928,129,18
0,0,0,8404,161,129.303,18
0,0,0,8405,161.166,130,18
0,0,0,8406,161,130,18.2118
0,0,0,8407,161.404,131,18
0,0,0,8408,161,131,18.5156
0,0,0,8410,161,132,18.8194
-0,-0,-0,8810,154.436,105,19
-0,-0,-0,8811,154,105,19.5562
